Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
56,Loïc Bade,fr FRA,DF,Leverkusen,25,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
57,Malik Tillman,us USA,MF,Leverkusen,23,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",
58,Mark Flekken,nl NED,GK,Leverkusen,32,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
59,Martin Terrier,fr FRA,"MF,FW",Leverkusen,28,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
60,Rasmus Kristensen,dk DEN,"DF,MF",Eintracht Frankfurt,28,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",
61,Sacha Boey,fr FRA,DF,Bayern Munich,24,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",
62,Angelo Stiller,de GER,MF,Stuttgart,24,"€ 87,115 (£ 75,517, $101,462)","€ 4,530,000 (£ 3,926,865, $5,276,017)",
63,Deniz Undav,de GER,"FW,MF",Stuttgart,29,"€ 87,115 (£ 75,517, $101,462)","€ 4,530,000 (£ 3,926,865, $5,276,017)",
64,Vincenzo Grifo,it ITA,MF,Freiburg,32,"€ 87,115 (£ 75,517, $101,462)","€ 4,530,000 (£ 3,926,865, $5,276,017)",Unverified estimation
65,Ramy Bensebaini,dz ALG,DF,Dortmund,30,"€ 86,731 (£ 75,183, $101,014)","€ 4,510,000 (£ 3,909,528, $5,252,723)",Unverified estimation
66,Jesper Lindstrøm,dk DEN,MF,Wolfsburg,25,"€ 83,462 (£ 72,349, $97,206)","€ 4,340,000 (£ 3,762,162, $5,054,727)",
67,Christoph Baumgartner,at AUT,MF,RB Leipzig,25,"€ 83,462 (£ 72,349, $97,206)","€ 4,340,000 (£ 3,762,162, $5,054,727)",Unverified estimation
68,Jonas Hofmann,de GER,MF,Leverkusen,33,"€ 83,462 (£ 72,349, $97,206)","€ 4,340,000 (£ 3,762,162, $5,054,727)",Unverified estimation
69,Joakim Mæhle,dk DEN,"MF,DF",Wolfsburg,28,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",Unverified estimation
70,Alexander Nübel,de GER,GK,Stuttgart,28,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",
71,Fábio Silva,pt POR,"FW,MF",Dortmund,23,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",Unverified estimation
72,Maximilian Beier,de GER,"MF,FW",Dortmund,22,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",Unverified estimation
73,Arthur Theate,be BEL,DF,Eintracht Frankfurt,25,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",Unverified estimation
74,Mario Götze,de GER,MF,Eintracht Frankfurt,33,"€ 79,808 (£ 69,182, $92,951)","€ 4,150,000 (£ 3,597,459, $4,833,437)",
75,Xaver Schlager,at AUT,MF,RB Leipzig,27,"€ 76,923 (£ 66,681, $89,591)","€ 4,000,000 (£ 3,467,430, $4,658,734)",
76,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,34,"€ 76,154 (£ 66,015, $88,695)","€ 3,960,000 (£ 3,432,756, $4,612,147)",Unverified estimation
