Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
331,Roberto Navarro,es ESP,MF,Athletic Club,23,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
332,Federico Redondo,ar ARG,MF,Elche,22,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
333,Héctor Fort,es ESP,"DF,MF",Elche,18,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
334,Léo Pétrot,fr FRA,DF,Elche,28,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
335,Álex Sancris,es ESP,"MF,FW",Getafe,28,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
336,Jon Pacheco,es ESP,DF,Alavés,24,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
337,Pablo Ibáñez,es ESP,MF,Alavés,26,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
338,Marc-André ter Stegen,de GER,GK,Girona,33,"€ 20,000 (£ 17,321, $23,247)","€ 1,040,000 (£ 900,700, $1,208,861)",
339,Alan Matturro,uy URU,DF,Levante,20,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
340,Iker Losada,es ESP,MF,Levante,23,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
341,Karl Etta Eyong,,CF,Levante,22,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
342,Kervin Arriaga,hn HON,MF,Levante,27,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
343,Pablo Martínez,es ESP,MF,Levante,27,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
344,Unai Elgezabal,es ESP,"DF,MF",Levante,32,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
345,Óscar Trejo,ar ARG,MF,Rayo Vallecano,37,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
346,Jofre Carreras,,RW,Espanyol,24,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
347,Leandro Cabrera,uy URU,DF,Espanyol,34,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
348,Miguel Ángel Rubio,es ESP,DF,Espanyol,27,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
349,Omar El Hilali,ma MAR,DF,Espanyol,21,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
350,Aarón Escandell,es ESP,GK,Oviedo,29,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
351,Alberto Reina,,CM,Oviedo,28,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
352,Dani Calvo,es ESP,DF,Oviedo,31,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
353,David Costas,es ESP,DF,Oviedo,30,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
354,Federico Viñas,uy URU,"FW,MF",Oviedo,27,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
355,Javi López,es ESP,DF,Oviedo,23,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
356,Luka Ilić,rs SRB,"MF,FW",Oviedo,26,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
357,Nacho Vidal,es ESP,DF,Oviedo,30,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
358,Eray Cömert,ch SUI,DF,Valencia,27,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
359,Jesus Vazquez,es ESP,"DF,MF",Valencia,22,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
360,Copete,es ESP,DF,Valencia,25,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
361,Largie Ramazani,be BEL,"MF,FW",Valencia,24,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
362,Pablo Marín,es ESP,MF,Real Sociedad,22,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
363,Iván Villar,es ESP,GK,Celta Vigo,28,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
