Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
348,Ibrahim Mbaye,sn SEN,"FW,MF",Paris Saint-Germain,17,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
349,Kojo Peprah Oppong,,CB,Nice,21,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
350,Emersonn,,CF,Toulouse,21,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
351,Santiago Hidalgo,,CF,Toulouse,20,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
352,Assane Dioussé,sn SEN,MF,Auxerre,27,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
353,Lionel Mpasi-Nzau,,GK,Le Havre,31,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
354,Lucas Gourna-Douath,fr FRA,MF,Le Havre,21,"€ 12,308 (£ 10,659, $14,306)","€ 640,000 (£ 554,277, $743,915)",
355,Lilian Raolisoa,fr FRA,"MF,DF",Angers,25,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
356,Yassin Belkhdim,fr FRA,MF,Angers,23,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
357,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,19,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
358,Gessime Yassine,,RW,Strasbourg,20,"€ 12,308 (£ 10,659, $14,306)","€ 640,000 (£ 554,277, $743,915)",Unverified estimation
359,Arsène Kouassi,,LB,Lorient,21,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
360,Darlin Yongwa,cm CMR,"DF,MF",Lorient,24,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
